country_code,year_data,incgroup_historical,fcv,ssa_subregion_code,year,income_group,income_group_code
AGO,2001,Low income,Yes,Eastern and Southern Africa,2001,Low income,LIC
BDI,2016,Low income,Yes,Eastern and Southern Africa,2016,Low income,LIC
BEN,1991,Low income,,Western and Central Africa,1991,Low income,LIC
BFA,2017,Low income,No,Western and Central Africa,2017,Low income,LIC
BWA,1990,Lower middle income,,Eastern and Southern Africa,1990,Lower middle income,LMIC
CAF,1994,Low income,,Western and Central Africa,1994,Low income,LIC
CIV,2015,Lower middle income,Yes,Western and Central Africa,2015,Lower middle income,LMIC
CMR,2022,Lower middle income,Yes,Western and Central Africa,2022,Lower middle income,LMIC
COD,1989,Low income,,Eastern and Southern Africa,1989,Low income,LIC
COG,2024,Lower middle income,Yes,Western and Central Africa,2024,Lower middle income,LMIC
COM,2023,Lower middle income,Yes,Eastern and Southern Africa,2023,Lower middle income,LMIC
CPV,2000,Lower middle income,No,Western and Central Africa,2000,Lower middle income,LMIC
ERI,1994,Low income,,Eastern and Southern Africa,1994,Low income,LIC
ETH,1998,Low income,No,Eastern and Southern Africa,1998,Low income,LIC
GAB,2004,Upper middle income,No,Western and Central Africa,2004,Upper middle income,UMIC
GHA,2002,Low income,No,Western and Central Africa,2002,Low income,LIC
GIN,1994,Low income,,Western and Central Africa,1994,Low income,LIC
GMB,2014,Low income,Yes,Western and Central Africa,2014,Low income,LIC
GNB,2011,Low income,Yes,Western and Central Africa,2011,Low income,LIC
GNQ,2010,High income,No,Western and Central Africa,2010,High income,HIC
KEN,1991,Low income,,Eastern and Southern Africa,1991,Low income,LIC
LBR,1995,Low income,,Western and Central Africa,1995,Low income,LIC
LSO,1997,Low income,,Eastern and Southern Africa,1997,Low income,LIC
MDG,2019,Low income,No,Eastern and Southern Africa,2019,Low income,LIC
MLI,1995,Low income,,Western and Central Africa,1995,Low income,LIC
MOZ,2009,Low income,No,Eastern and Southern Africa,2009,Low income,LIC
MRT,2007,Low income,No,Western and Central Africa,2007,Low income,LIC
MUS,2019,High income,No,Eastern and Southern Africa,2019,High income,HIC
MWI,1994,Low income,,Eastern and Southern Africa,1994,Low income,LIC
NAM,1992,Lower middle income,,Eastern and Southern Africa,1992,Lower middle income,LMIC
NER,1991,Low income,,Western and Central Africa,1991,Low income,LIC
NGA,1992,Low income,,Western and Central Africa,1992,Low income,LIC
RWA,2024,Low income,No,Eastern and Southern Africa,2024,Low income,LIC
SDN,2018,Lower middle income,Yes,Eastern and Southern Africa,2018,Lower middle income,LMIC
SEN,2022,Lower middle income,No,Western and Central Africa,2022,Lower middle income,LMIC
SLE,2019,Low income,No,Western and Central Africa,2019,Low income,LIC
SOM,1998,Low income,Yes,Eastern and Southern Africa,1998,Low income,LIC
SSD,2004,Lower middle income,No,Eastern and Southern Africa,2004,Lower middle income,LMIC
STP,1990,Low income,,Eastern and Southern Africa,1990,Low income,LIC
SWZ,2022,Lower middle income,No,Eastern and Southern Africa,2022,Lower middle income,LMIC
SYC,2020,High income,No,Eastern and Southern Africa,2020,High income,HIC
TCD,2020,Low income,Yes,Western and Central Africa,2020,Low income,LIC
TGO,1998,Low income,No,Western and Central Africa,1998,Low income,LIC
TZA,2006,Low income,No,Eastern and Southern Africa,2006,Low income,LIC
UGA,1987,Low income,,Eastern and Southern Africa,1987,Low income,LIC
ZAF,2014,Upper middle income,No,Eastern and Southern Africa,2014,Upper middle income,UMIC
ZMB,2007,Low income,No,Eastern and Southern Africa,2007,Low income,LIC
ZWE,1999,Low income,No,Eastern and Southern Africa,1999,Low income,LIC
ABW,2024,High income,No,,2024,High income,HIC
ABW,1987,High income,,,1987,High income,HIC
ABW,2019,High income,No,,2019,High income,HIC
ABW,1995,High income,,,1995,High income,HIC
ABW,1992,Upper middle income,,,1992,Upper middle income,UMIC
ABW,2013,High income,No,,2013,High income,HIC
ABW,2021,High income,No,,2021,High income,HIC
ABW,2000,High income,No,,2000,High income,HIC
ABW,2003,High income,No,,2003,High income,HIC
ABW,2004,High income,No,,2004,High income,HIC
ABW,1994,High income,,,1994,High income,HIC
ABW,2006,High income,No,,2006,High income,HIC
ABW,2011,High income,No,,2011,High income,HIC
ABW,2017,High income,No,,2017,High income,HIC
ABW,2008,High income,No,,2008,High income,HIC
ABW,1991,Upper middle income,,,1991,Upper middle income,UMIC
ABW,2010,High income,No,,2010,High income,HIC
ABW,2001,High income,No,,2001,High income,HIC
ABW,1993,Upper middle income,,,1993,Upper middle income,UMIC
ABW,1998,High income,No,,1998,High income,HIC
ABW,2005,High income,No,,2005,High income,HIC
ABW,1997,High income,,,1997,High income,HIC
ABW,1999,High income,No,,1999,High income,HIC
ABW,2012,High income,No,,2012,High income,HIC
ABW,1989,High income,,,1989,High income,HIC
ABW,2007,High income,No,,2007,High income,HIC
ABW,1996,High income,,,1996,High income,HIC
ABW,1990,High income,,,1990,High income,HIC
ABW,2018,High income,No,,2018,High income,HIC
ABW,1988,High income,,,1988,High income,HIC
ABW,2020,High income,No,,2020,High income,HIC
ABW,2002,High income,No,,2002,High income,HIC
ABW,2022,High income,No,,2022,High income,HIC
ABW,2009,High income,No,,2009,High income,HIC
ABW,2023,High income,No,,2023,High income,HIC
ABW,2016,High income,No,,2016,High income,HIC
ABW,2014,High income,No,,2014,High income,HIC
ABW,2015,High income,No,,2015,High income,HIC
AFG,1991,Low income,,,1991,Low income,LIC
AFG,1998,Low income,Yes,,1998,Low income,LIC
AFG,2014,Low income,Yes,,2014,Low income,LIC
AFG,2000,Low income,Yes,,2000,Low income,LIC
AFG,2010,Low income,Yes,,2010,Low income,LIC
AFG,2002,Low income,Yes,,2002,Low income,LIC
AFG,1990,Low income,,,1990,Low income,LIC
AFG,1994,Low income,,,1994,Low income,LIC
AFG,1996,Low income,,,1996,Low income,LIC
AFG,2001,Low income,Yes,,2001,Low income,LIC
AFG,2020,Low income,Yes,,2020,Low income,LIC
AFG,2009,Low income,Yes,,2009,Low income,LIC
AFG,2017,Low income,Yes,,2017,Low income,LIC
AFG,1995,Low income,,,1995,Low income,LIC
AFG,2024,Low income,Yes,,2024,Low income,LIC
AFG,2021,Low income,Yes,,2021,Low income,LIC
AFG,1987,Low income,,,1987,Low income,LIC
AFG,2018,Low income,Yes,,2018,Low income,LIC
AFG,2005,Low income,Yes,,2005,Low income,LIC
AFG,2008,Low income,Yes,,2008,Low income,LIC
AFG,2022,Low income,Yes,,2022,Low income,LIC
AFG,1992,Low income,,,1992,Low income,LIC
AFG,2004,Low income,Yes,,2004,Low income,LIC
AFG,1997,Low income,,,1997,Low income,LIC
AFG,2007,Low income,Yes,,2007,Low income,LIC
AFG,1999,Low income,Yes,,1999,Low income,LIC
AFG,1989,Low income,,,1989,Low income,LIC
AFG,2011,Low income,Yes,,2011,Low income,LIC
AFG,1988,Low income,,,1988,Low income,LIC
AFG,2003,Low income,Yes,,2003,Low income,LIC
AFG,2006,Low income,Yes,,2006,Low income,LIC
AFG,2015,Low income,Yes,,2015,Low income,LIC
AFG,2016,Low income,Yes,,2016,Low income,LIC
AFG,2023,Low income,Yes,,2023,Low income,LIC
AFG,2013,Low income,Yes,,2013,Low income,LIC
AFG,2012,Low income,Yes,,2012,Low income,LIC
AFG,2019,Low income,Yes,,2019,Low income,LIC
AFG,1993,Low income,,,1993,Low income,LIC
AGO,2023,Lower middle income,No,Eastern and Southern Africa,2023,Lower middle income,LMIC
AGO,2011,Upper middle income,Yes,Eastern and Southern Africa,2011,Upper middle income,UMIC
AGO,2008,Lower middle income,Yes,Eastern and Southern Africa,2008,Lower middle income,LMIC
AGO,1999,Low income,Yes,Eastern and Southern Africa,1999,Low income,LIC
AGO,1993,Lower middle income,,Eastern and Southern Africa,1993,Lower middle income,LMIC
AGO,1989,Lower middle income,,Eastern and Southern Africa,1989,Lower middle income,LMIC
AGO,2015,Upper middle income,No,Eastern and Southern Africa,2015,Upper middle income,UMIC
AGO,1991,Lower middle income,,Eastern and Southern Africa,1991,Lower middle income,LMIC
AGO,2007,Lower middle income,Yes,Eastern and Southern Africa,2007,Lower middle income,LMIC
AGO,1996,Low income,,Eastern and Southern Africa,1996,Low income,LIC
AGO,1990,Lower middle income,,Eastern and Southern Africa,1990,Lower middle income,LMIC
AGO,1998,Low income,Yes,Eastern and Southern Africa,1998,Low income,LIC
AGO,2012,Upper middle income,No,Eastern and Southern Africa,2012,Upper middle income,UMIC
AGO,2003,Low income,Yes,Eastern and Southern Africa,2003,Low income,LIC
AGO,1994,Lower middle income,,Eastern and Southern Africa,1994,Lower middle income,LMIC
AGO,1997,Low income,,Eastern and Southern Africa,1997,Low income,LIC
AGO,2017,Lower middle income,No,Eastern and Southern Africa,2017,Lower middle income,LMIC
AGO,1988,Lower middle income,,Eastern and Southern Africa,1988,Lower middle income,LMIC
AGO,2002,Low income,Yes,Eastern and Southern Africa,2002,Low income,LIC
AGO,2013,Upper middle income,No,Eastern and Southern Africa,2013,Upper middle income,UMIC
AGO,2014,Upper middle income,No,Eastern and Southern Africa,2014,Upper middle income,UMIC
AGO,2004,Lower middle income,Yes,Eastern and Southern Africa,2004,Lower middle income,LMIC
AGO,2009,Lower middle income,Yes,Eastern and Southern Africa,2009,Lower middle income,LMIC
AGO,2021,Lower middle income,No,Eastern and Southern Africa,2021,Lower middle income,LMIC
AGO,1987,Lower middle income,,Eastern and Southern Africa,1987,Lower middle income,LMIC
AGO,1995,Low income,,Eastern and Southern Africa,1995,Low income,LIC
AGO,2020,Lower middle income,No,Eastern and Southern Africa,2020,Lower middle income,LMIC
AGO,2006,Lower middle income,Yes,Eastern and Southern Africa,2006,Lower middle income,LMIC
AGO,2022,Lower middle income,No,Eastern and Southern Africa,2022,Lower middle income,LMIC
AGO,2016,Lower middle income,No,Eastern and Southern Africa,2016,Lower middle income,LMIC
AGO,2010,Lower middle income,Yes,Eastern and Southern Africa,2010,Lower middle income,LMIC
AGO,2005,Lower middle income,Yes,Eastern and Southern Africa,2005,Lower middle income,LMIC
AGO,2024,Lower middle income,No,Eastern and Southern Africa,2024,Lower middle income,LMIC
AGO,2018,Lower middle income,No,Eastern and Southern Africa,2018,Lower middle income,LMIC
AGO,2019,Lower middle income,No,Eastern and Southern Africa,2019,Lower middle income,LMIC
AGO,1992,Lower middle income,,Eastern and Southern Africa,1992,Lower middle income,LMIC
AGO,2000,Low income,Yes,Eastern and Southern Africa,2000,Low income,LIC
ALB,2017,Upper middle income,No,,2017,Upper middle income,UMIC
ALB,2015,Upper middle income,No,,2015,Upper middle income,UMIC
ALB,2006,Lower middle income,No,,2006,Lower middle income,LMIC
ALB,1989,Lower middle income,,,1989,Lower middle income,LMIC
ALB,2021,Upper middle income,No,,2021,Upper middle income,UMIC
ALB,2003,Lower middle income,No,,2003,Lower middle income,LMIC
ALB,2002,Lower middle income,No,,2002,Lower middle income,LMIC
ALB,1999,Lower middle income,No,,1999,Lower middle income,LMIC
ALB,2010,Upper middle income,No,,2010,Upper middle income,UMIC
ALB,1988,Lower middle income,,,1988,Lower middle income,LMIC
ALB,1997,Low income,,,1997,Low income,LIC
ALB,2023,Upper middle income,No,,2023,Upper middle income,UMIC
ALB,2007,Lower middle income,No,,2007,Lower middle income,LMIC
ALB,2011,Lower middle income,No,,2011,Lower middle income,LMIC
ALB,1998,Lower middle income,No,,1998,Lower middle income,LMIC
ALB,1992,Lower middle income,,,1992,Lower middle income,LMIC
ALB,2004,Lower middle income,No,,2004,Lower middle income,LMIC
ALB,2019,Upper middle income,No,,2019,Upper middle income,UMIC
ALB,2001,Lower middle income,No,,2001,Lower middle income,LMIC
ALB,2009,Upper middle income,No,,2009,Upper middle income,UMIC
ALB,1994,Low income,,,1994,Low income,LIC
ALB,1987,Lower middle income,,,1987,Lower middle income,LMIC
ALB,1995,Low income,,,1995,Low income,LIC
ALB,1990,Lower middle income,,,1990,Lower middle income,LMIC
ALB,2022,Upper middle income,No,,2022,Upper middle income,UMIC
ALB,1996,Lower middle income,,,1996,Lower middle income,LMIC
ALB,2020,Upper middle income,No,,2020,Upper middle income,UMIC
ALB,2024,Upper middle income,No,,2024,Upper middle income,UMIC
ALB,1991,Lower middle income,,,1991,Lower middle income,LMIC
ALB,1993,Low income,,,1993,Low income,LIC
ALB,2016,Upper middle income,No,,2016,Upper middle income,UMIC
ALB,2013,Upper middle income,No,,2013,Upper middle income,UMIC
ALB,2000,Lower middle income,No,,2000,Lower middle income,LMIC
ALB,2018,Upper middle income,No,,2018,Upper middle income,UMIC
ALB,2012,Upper middle income,No,,2012,Upper middle income,UMIC
ALB,2014,Upper middle income,No,,2014,Upper middle income,UMIC
ALB,2005,Lower middle income,No,,2005,Lower middle income,LMIC
ALB,2008,Lower middle income,No,,2008,Lower middle income,LMIC
AND,1992,High income,,,1992,High income,HIC
AND,2003,High income,No,,2003,High income,HIC
AND,1999,High income,No,,1999,High income,HIC
AND,2002,High income,No,,2002,High income,HIC
AND,1995,High income,,,1995,High income,HIC
AND,2007,High income,No,,2007,High income,HIC
AND,1993,High income,,,1993,High income,HIC
AND,1989,High income,,,1989,High income,HIC
AND,2020,High income,No,,2020,High income,HIC
AND,1996,High income,,,1996,High income,HIC
AND,2017,High income,No,,2017,High income,HIC
AND,2023,High income,No,,2023,High income,HIC
AND,2012,High income,No,,2012,High income,HIC
AND,2022,High income,No,,2022,High income,HIC
AND,2011,High income,No,,2011,High income,HIC
AND,2021,High income,No,,2021,High income,HIC
AND,1987,High income,,,1987,High income,HIC
AND,2024,High income,No,,2024,High income,HIC
AND,2015,High income,No,,2015,High income,HIC
AND,2006,High income,No,,2006,High income,HIC
AND,1994,High income,,,1994,High income,HIC
AND,2014,High income,No,,2014,High income,HIC
AND,2009,High income,No,,2009,High income,HIC
AND,1997,High income,,,1997,High income,HIC
AND,2000,High income,No,,2000,High income,HIC
AND,2004,High income,No,,2004,High income,HIC
AND,1988,High income,,,1988,High income,HIC
AND,2013,High income,No,,2013,High income,HIC
AND,2016,High income,No,,2016,High income,HIC
AND,1998,High income,No,,1998,High income,HIC
AND,2008,High income,No,,2008,High income,HIC
AND,2019,High income,No,,2019,High income,HIC
AND,1990,High income,,,1990,High income,HIC
AND,2001,High income,No,,2001,High income,HIC
AND,2010,High income,No,,2010,High income,HIC
AND,1991,High income,,,1991,High income,HIC
AND,2005,High income,No,,2005,High income,HIC
AND,2018,High income,No,,2018,High income,HIC
ARE,2004,High income,No,,2004,High income,HIC
ARE,1990,High income,,,1990,High income,HIC
ARE,2020,High income,No,,2020,High income,HIC
ARE,1997,High income,,,1997,High income,HIC
ARE,1989,High income,,,1989,High income,HIC
ARE,2002,High income,No,,2002,High income,HIC
ARE,2017,High income,No,,2017,High income,HIC
ARE,1987,High income,,,1987,High income,HIC
ARE,2003,High income,No,,2003,High income,HIC
ARE,2015,High income,No,,2015,High income,HIC
ARE,2019,High income,No,,2019,High income,HIC
ARE,2018,High income,No,,2018,High income,HIC
ARE,2012,High income,No,,2012,High income,HIC
ARE,2000,High income,No,,2000,High income,HIC
ARE,1995,High income,,,1995,High income,HIC
ARE,2024,High income,No,,2024,High income,HIC
ARE,1998,High income,No,,1998,High income,HIC
ARE,2010,High income,No,,2010,High income,HIC
ARE,1992,High income,,,1992,High income,HIC
ARE,2008,High income,No,,2008,High income,HIC
ARE,2014,High income,No,,2014,High income,HIC
ARE,2007,High income,No,,2007,High income,HIC
ARE,2022,High income,No,,2022,High income,HIC
ARE,2001,High income,No,,2001,High income,HIC
ARE,1993,High income,,,1993,High income,HIC
ARE,2005,High income,No,,2005,High income,HIC
ARE,2021,High income,No,,2021,High income,HIC
ARE,2009,High income,No,,2009,High income,HIC
ARE,1999,High income,No,,1999,High income,HIC
ARE,2011,High income,No,,2011,High income,HIC
ARE,2013,High income,No,,2013,High income,HIC
ARE,1994,High income,,,1994,High income,HIC
ARE,2006,High income,No,,2006,High income,HIC
ARE,2023,High income,No,,2023,High income,HIC
ARE,1996,High income,,,1996,High income,HIC
ARE,2016,High income,No,,2016,High income,HIC
ARE,1991,High income,,,1991,High income,HIC
ARE,1988,High income,,,1988,High income,HIC
ARG,1996,Upper middle income,,,1996,Upper middle income,UMIC
ARG,2003,Upper middle income,No,,2003,Upper middle income,UMIC
ARG,2022,Upper middle income,No,,2022,Upper middle income,UMIC
ARG,1987,Upper middle income,,,1987,Upper middle income,UMIC
ARG,2020,Upper middle income,No,,2020,Upper middle income,UMIC
ARG,2008,Upper middle income,No,,2008,Upper middle income,UMIC
ARG,2005,Upper middle income,No,,2005,Upper middle income,UMIC
ARG,2013,Upper middle income,No,,2013,Upper middle income,UMIC
ARG,1992,Upper middle income,,,1992,Upper middle income,UMIC
ARG,2016,Upper middle income,No,,2016,Upper middle income,UMIC
ARG,2017,High income,No,,2017,High income,HIC
ARG,2018,Upper middle income,No,,2018,Upper middle income,UMIC
ARG,1990,Lower middle income,,,1990,Lower middle income,LMIC
ARG,2009,Upper middle income,No,,2009,Upper middle income,UMIC
ARG,2015,Upper middle income,No,,2015,Upper middle income,UMIC
ARG,1989,Lower middle income,,,1989,Lower middle income,LMIC
ARG,2019,Upper middle income,No,,2019,Upper middle income,UMIC
ARG,1988,Upper middle income,,,1988,Upper middle income,UMIC
ARG,2021,Upper middle income,No,,2021,Upper middle income,UMIC
ARG,2006,Upper middle income,No,,2006,Upper middle income,UMIC
ARG,2011,Upper middle income,No,,2011,Upper middle income,UMIC
ARG,2007,Upper middle income,No,,2007,Upper middle income,UMIC
ARG,2002,Upper middle income,No,,2002,Upper middle income,UMIC
ARG,1994,Upper middle income,,,1994,Upper middle income,UMIC
ARG,1993,Upper middle income,,,1993,Upper middle income,UMIC
ARG,1997,Upper middle income,,,1997,Upper middle income,UMIC
ARG,1991,Upper middle income,,,1991,Upper middle income,UMIC
ARG,2012,Upper middle income,No,,2012,Upper middle income,UMIC
ARG,1998,Upper middle income,No,,1998,Upper middle income,UMIC
ARG,2004,Upper middle income,No,,2004,Upper middle income,UMIC
ARG,2024,Upper middle income,No,,2024,Upper middle income,UMIC
ARG,2023,Upper middle income,No,,2023,Upper middle income,UMIC
ARG,1999,Upper middle income,No,,1999,Upper middle income,UMIC
ARG,1995,Upper middle income,,,1995,Upper middle income,UMIC
ARG,2001,Upper middle income,No,,2001,Upper middle income,UMIC
ARG,2000,Upper middle income,No,,2000,Upper middle income,UMIC
ARG,2010,Upper middle income,No,,2010,Upper middle income,UMIC
ARG,2014,High income,No,,2014,High income,HIC
ARM,2016,Lower middle income,No,,2016,Lower middle income,LMIC
ARM,2015,Lower middle income,No,,2015,Lower middle income,LMIC
ARM,2008,Lower middle income,No,,2008,Lower middle income,LMIC
ARM,2003,Lower middle income,No,,2003,Lower middle income,LMIC
ARM,2000,Low income,No,,2000,Low income,LIC
ARM,1999,Low income,No,,1999,Low income,LIC
ARM,1998,Low income,No,,1998,Low income,LIC
ARM,1993,Low income,,,1993,Low income,LIC
ARM,2020,Upper middle income,Yes,,2020,Upper middle income,UMIC
ARM,2018,Upper middle income,No,,2018,Upper middle income,UMIC
ARM,2004,Lower middle income,No,,2004,Lower middle income,LMIC
ARM,2017,Upper middle income,No,,2017,Upper middle income,UMIC
ARM,2021,Upper middle income,No,,2021,Upper middle income,UMIC
ARM,1995,Low income,,,1995,Low income,LIC
ARM,2007,Lower middle income,No,,2007,Lower middle income,LMIC
ARM,2009,Lower middle income,No,,2009,Lower middle income,LMIC
ARM,2012,Lower middle income,No,,2012,Lower middle income,LMIC
ARM,2002,Lower middle income,No,,2002,Lower middle income,LMIC
ARM,2006,Lower middle income,No,,2006,Lower middle income,LMIC
ARM,1997,Low income,,,1997,Low income,LIC
ARM,1990,Lower middle income,,,1990,Lower middle income,LMIC
ARM,1994,Low income,,,1994,Low income,LIC
ARM,2005,Lower middle income,No,,2005,Lower middle income,LMIC
ARM,2013,Lower middle income,No,,2013,Lower middle income,LMIC
ARM,1988,Lower middle income,,,1988,Lower middle income,LMIC
ARM,2010,Lower middle income,No,,2010,Lower middle income,LMIC
ARM,1987,Lower middle income,,,1987,Lower middle income,LMIC
ARM,2019,Upper middle income,No,,2019,Upper middle income,UMIC
ARM,1991,Lower middle income,,,1991,Lower middle income,LMIC
ARM,2024,Upper middle income,No,,2024,Upper middle income,UMIC
ARM,2022,Upper middle income,No,,2022,Upper middle income,UMIC
ARM,1996,Low income,,,1996,Low income,LIC
ARM,1992,Lower middle income,,,1992,Lower middle income,LMIC
ARM,2011,Lower middle income,No,,2011,Lower middle income,LMIC
ARM,2001,Low income,No,,2001,Low income,LIC
ARM,2014,Lower middle income,No,,2014,Lower middle income,LMIC
ARM,1989,Lower middle income,,,1989,Lower middle income,LMIC
ARM,2023,Upper middle income,No,,2023,Upper middle income,UMIC
ASM,2019,Upper middle income,No,,2019,Upper middle income,UMIC
ASM,2008,Upper middle income,No,,2008,Upper middle income,UMIC
ASM,2005,Upper middle income,No,,2005,Upper middle income,UMIC
ASM,1995,Upper middle income,,,1995,Upper middle income,UMIC
ASM,2024,High income,No,,2024,High income,HIC
ASM,1996,Upper middle income,,,1996,Upper middle income,UMIC
ASM,2018,Upper middle income,No,,2018,Upper middle income,UMIC
ASM,2021,Upper middle income,No,,2021,Upper middle income,UMIC
ASM,1987,High income,,,1987,High income,HIC
ASM,2007,Upper middle income,No,,2007,Upper middle income,UMIC
ASM,1994,Upper middle income,,,1994,Upper middle income,UMIC
ASM,2000,Upper middle income,No,,2000,Upper middle income,UMIC
ASM,2001,Upper middle income,No,,2001,Upper middle income,UMIC
ASM,2014,Upper middle income,No,,2014,Upper middle income,UMIC
ASM,1991,Upper middle income,,,1991,Upper middle income,UMIC
ASM,2022,High income,No,,2022,High income,HIC
ASM,2011,Upper middle income,No,,2011,Upper middle income,UMIC
ASM,2016,Upper middle income,No,,2016,Upper middle income,UMIC
ASM,2006,Upper middle income,No,,2006,Upper middle income,UMIC
ASM,1990,Upper middle income,,,1990,Upper middle income,UMIC
ASM,2012,Upper middle income,No,,2012,Upper middle income,UMIC
ASM,1998,Upper middle income,No,,1998,Upper middle income,UMIC
ASM,2009,Upper middle income,No,,2009,Upper middle income,UMIC
ASM,2023,High income,No,,2023,High income,HIC
ASM,2020,Upper middle income,No,,2020,Upper middle income,UMIC
ASM,1999,Upper middle income,No,,1999,Upper middle income,UMIC
ASM,1993,Upper middle income,,,1993,Upper middle income,UMIC
ASM,1997,Upper middle income,,,1997,Upper middle income,UMIC
ASM,2013,Upper middle income,No,,2013,Upper middle income,UMIC
ASM,2002,Upper middle income,No,,2002,Upper middle income,UMIC
ASM,1989,High income,,,1989,High income,HIC
ASM,2015,Upper middle income,No,,2015,Upper middle income,UMIC
ASM,2003,Upper middle income,No,,2003,Upper middle income,UMIC
ASM,2004,Upper middle income,No,,2004,Upper middle income,UMIC
ASM,1992,Upper middle income,,,1992,Upper middle income,UMIC
ASM,1988,High income,,,1988,High income,HIC
ASM,2010,Upper middle income,No,,2010,Upper middle income,UMIC
ASM,2017,Upper middle income,No,,2017,Upper middle income,UMIC
ATG,2018,High income,No,,2018,High income,HIC
ATG,2000,Upper middle income,No,,2000,Upper middle income,UMIC
ATG,1992,Upper middle income,,,1992,Upper middle income,UMIC
ATG,2017,High income,No,,2017,High income,HIC
ATG,2005,High income,No,,2005,High income,HIC
ATG,2022,High income,No,,2022,High income,HIC
ATG,1995,Upper middle income,,,1995,Upper middle income,UMIC
ATG,2023,High income,No,,2023,High income,HIC
ATG,1987,Upper middle income,,,1987,Upper middle income,UMIC
ATG,2016,High income,No,,2016,High income,HIC
ATG,1998,Upper middle income,No,,1998,Upper middle income,UMIC
ATG,2010,Upper middle income,No,,2010,Upper middle income,UMIC
ATG,1994,Upper middle income,,,1994,Upper middle income,UMIC
ATG,2003,Upper middle income,No,,2003,Upper middle income,UMIC
ATG,2009,Upper middle income,No,,2009,Upper middle income,UMIC
ATG,2024,High income,No,,2024,High income,HIC
ATG,2011,Upper middle income,No,,2011,Upper middle income,UMIC
ATG,1996,Upper middle income,,,1996,Upper middle income,UMIC
ATG,2008,High income,No,,2008,High income,HIC
ATG,2021,High income,No,,2021,High income,HIC
ATG,1990,Upper middle income,,,1990,Upper middle income,UMIC
ATG,2006,High income,No,,2006,High income,HIC
ATG,2012,High income,No,,2012,High income,HIC
ATG,1989,Upper middle income,,,1989,Upper middle income,UMIC
ATG,2001,Upper middle income,No,,2001,Upper middle income,UMIC
ATG,2015,High income,No,,2015,High income,HIC
ATG,1991,Upper middle income,,,1991,Upper middle income,UMIC
ATG,2002,High income,No,,2002,High income,HIC
ATG,1997,Upper middle income,,,1997,Upper middle income,UMIC
ATG,2004,Upper middle income,No,,2004,Upper middle income,UMIC
ATG,2013,High income,No,,2013,High income,HIC
ATG,2020,High income,No,,2020,High income,HIC
ATG,2014,High income,No,,2014,High income,HIC
ATG,2007,High income,No,,2007,High income,HIC
ATG,2019,High income,No,,2019,High income,HIC
ATG,1999,Upper middle income,No,,1999,Upper middle income,UMIC
ATG,1993,Upper middle income,,,1993,Upper middle income,UMIC
ATG,1988,Upper middle income,,,1988,Upper middle income,UMIC
AUS,2020,High income,No,,2020,High income,HIC
AUS,1992,High income,,,1992,High income,HIC
AUS,2015,High income,No,,2015,High income,HIC
AUS,2008,High income,No,,2008,High income,HIC
AUS,2012,High income,No,,2012,High income,HIC
AUS,2024,High income,No,,2024,High income,HIC
AUS,2000,High income,No,,2000,High income,HIC
AUS,1987,High income,,,1987,High income,HIC
AUS,2016,High income,No,,2016,High income,HIC
AUS,1988,High income,,,1988,High income,HIC
AUS,1989,High income,,,1989,High income,HIC
AUS,1991,High income,,,1991,High income,HIC
AUS,1993,High income,,,1993,High income,HIC
AUS,2009,High income,No,,2009,High income,HIC
AUS,2021,High income,No,,2021,High income,HIC
AUS,2019,High income,No,,2019,High income,HIC
AUS,2010,High income,No,,2010,High income,HIC
AUS,2023,High income,No,,2023,High income,HIC
AUS,2006,High income,No,,2006,High income,HIC
AUS,2007,High income,No,,2007,High income,HIC
AUS,2011,High income,No,,2011,High income,HIC
AUS,1999,High income,No,,1999,High income,HIC
AUS,1998,High income,No,,1998,High income,HIC
AUS,2017,High income,No,,2017,High income,HIC
AUS,1996,High income,,,1996,High income,HIC
AUS,2013,High income,No,,2013,High income,HIC
AUS,2001,High income,No,,2001,High income,HIC
AUS,1995,High income,,,1995,High income,HIC
AUS,2018,High income,No,,2018,High income,HIC
AUS,2005,High income,No,,2005,High income,HIC
AUS,2003,High income,No,,2003,High income,HIC
AUS,1990,High income,,,1990,High income,HIC
AUS,2014,High income,No,,2014,High income,HIC
AUS,2002,High income,No,,2002,High income,HIC
AUS,1994,High income,,,1994,High income,HIC
AUS,2022,High income,No,,2022,High income,HIC
AUS,2004,High income,No,,2004,High income,HIC
AUS,1997,High income,,,1997,High income,HIC
AUT,1987,High income,,,1987,High income,HIC
AUT,2010,High income,No,,2010,High income,HIC
AUT,2006,High income,No,,2006,High income,HIC
AUT,1999,High income,No,,1999,High income,HIC
AUT,1988,High income,,,1988,High income,HIC
AUT,2011,High income,No,,2011,High income,HIC
AUT,1994,High income,,,1994,High income,HIC
AUT,2017,High income,No,,2017,High income,HIC
AUT,2007,High income,No,,2007,High income,HIC
AUT,1990,High income,,,1990,High income,HIC
AUT,1996,High income,,,1996,High income,HIC
AUT,1998,High income,No,,1998,High income,HIC
AUT,1995,High income,,,1995,High income,HIC
AUT,1993,High income,,,1993,High income,HIC
AUT,2024,High income,No,,2024,High income,HIC
AUT,2021,High income,No,,2021,High income,HIC
AUT,2020,High income,No,,2020,High income,HIC
AUT,2015,High income,No,,2015,High income,HIC
AUT,2019,High income,No,,2019,High income,HIC
AUT,1991,High income,,,1991,High income,HIC
AUT,2004,High income,No,,2004,High income,HIC
AUT,2013,High income,No,,2013,High income,HIC
